ID,英文名稱,中文名稱,圖片,更新日期
784520,Clariidae； air breathing catfishes，clarid catfishes，freshwater catfishes，labyrinthic catfishes,胡子鯰科；塘蝨魚科、鬚子鯰科、鬍鯰科,,2012-11-26
784521,Clariger sirahamaensis Sakamoto，1932,西拉清鰕虎魚,,2012-11-26
784522,Clariger papillosus Ebina，1936,疣清鰕虎魚；無鱗翼棘鰕虎魚,,2012-11-26
784523,Clariger exilis Snyder，1911,細清鰕虎魚；細翼棘鰕虎魚,,2012-11-26
784524,Clariger cosmurus Jordan & Snyder，1901,普清鰕虎魚；翼棘鰕虎魚,,2012-11-26
784525,Clariger chionomaculatus Shiogaki，1988,花斑清鰕虎魚；花斑翼棘鰕虎魚,,2012-11-26
784526,Clariger Jordan & Snyder，1901,清鰕虎魚屬；翼棘鰕虎魚屬,,2012-11-26
784527,Clarias hexacicinus (Lacépède，1803),短尾胡子(鲇)鯰；短尾鬍鯰,,2012-11-26
784528,Clarias fuscus (Lacépède，1803)； white-spotted freshwater catfish，walking catfish,胡子(鲇)鯰；塘蝨魚、土殺、鬚子鯰、鬍鯰,,2012-11-26
784529,Clarias batrachus (Linnaeus，1758)； walking catfish,蟾胡子鯰；蟾鬍鯰,,2012-11-26
784530,Clarias anguillaris (Linnaeus，1758),鰻胡子(鲇)鯰；鰻鬍鯰,,2012-11-26
784531,Clarias Scopoli，1777l； abyrinth catfishes,胡子(鲇)鯰屬；鬍鯰屬,,2012-11-26
784532,Clariallabes uelensis (Poll，1941),于倫耀鯰,,2012-11-26
784533,Clariallabes platyprosopos Jubb，1965,扁臉耀鯰,,2012-11-26
784534,Clariallabes petricola Greenwood，1956,岩棲耀鯰,,2012-11-26
784535,Clariallabes manyangae (Boulenger，1919),萬年耀鯰,,2012-11-26
784536,Clariallabes heterocephalus Poll，1967,異頭耀鯰,,2012-11-26
784537,Clariallabes centralis (Poll & Lambert，1958),刺耀鯰,,2012-11-26
784538,Clariallabes attemsi (Holly，1927),阿氏耀鯰,,2012-11-26
784539,Clariallabes Boulenger，1900,耀鯰屬,,2012-11-26
784540,Cladoselchiformes,裂齒鯊目(化石),,2012-11-26
784541,Cladoselchidae,裂口鯊科(化石),,2012-11-26
784542,Cladosontiformes,裂齒鯊目(化石),,2012-11-26
784543,Cladosontidae,裂齒鯊科(化石),,2012-11-26
784544,Citharus linguatula (Linnaeus，1758),尾斑尾棘鮃,,2012-11-26
784545,Citharus Bleeker，1862,尾棘鮃屬,,2012-11-26
784546,Citharoides macrolepidotus Hubbs，1915,大鱗擬棘鮃,,2012-11-26
784547,Citharoides Hubbs，1915,擬棘鮃屬,,2012-11-26
784548,Citharoedus meyeri (Bloch & Schneider，1801),棘蝴蝶魚,,2012-11-26
784549,Citharoedus Kaup，1860,棘蝴蝶魚屬,,2012-11-26
784550,Citharinus citharus citharus (Geoffroy St. Hilaire，1809),琴脂鯉,,2012-11-26
784551,Citharinus Cuvier，1816,琴脂鯉屬,,2012-11-26
784552,Citharinops distichodoides (Pellegrin，1919),瑙琴脂鯉,,2012-11-26
784553,Citharinops Daget，1962,瑙琴脂鯉屬,,2012-11-26
784554,Citharininae,琴脂鯉亞科,,2012-11-26
784555,Citharinidae； citharids,琴脂鯉科,,2012-11-26
784556,Citharinae,棘鮃亞科,,2012-11-26
784557,Citharidium ansorgii Boulenger，1902,嵴鱗琴脂鯉,,2012-11-26
784558,Citharidium Boulenger，1902,嵴鱗琴脂鯉屬,,2012-11-26
784559,Citharidae； citharids,棘鮃科,,2012-11-26
784560,Citharichthys xanthostigma Gilbert，1890； long-fin sanddab,長尾副棘鮃,,2012-11-26
784561,Citharichthys stigmaeeus Jordan & Gilbert，1882； speckled sanddab,斑副棘鮃,,2012-11-26
784562,Citharichthys stampflii (Steindachner，1894),斯氏副棘鮃,,2012-11-26
784563,Citharichthys sordidus (Girard，1854)； Pacific sanddab,太平洋副棘鮃,,2012-11-26
784564,Citharichthys platophrys Gilbert，1891,扁平副棘鮃,,2012-11-26
784565,Citharichthys macrops Dresel，1885； spotted whiff,大副棘鮃,,2012-11-26
784566,Citharichthys gymnorhinus Gutherz & Blackman，1970； angle fin whiff,裸吻副棘,,2012-11-26
784567,Citharichthys gnathus Hoshino & Amaoka，1999,突顎副棘鮃,,2012-11-26
784568,Citharichthys fragilis Gilbert，1890； gulf sanddab,脆副棘鮃,,2012-11-26
784569,Citharichthys cornutus (Günther，1880)； horned whiff,角副棘鮃,,2012-11-26
784570,Citharichthys arenaceus Evermann & Marsh，1900； sand whiff,沙副棘鮃,,2012-11-26
784571,Citharichthys arctifrons Goode，1880； gulf stream flounder,北棘副棘鮃,,2012-11-26
784572,Citharichthys Bleeker，1862,副棘鮃屬,,2012-11-26
784573,Cirrisalarias bunares Springer，1976,鬚鳳鳚,,2012-11-26
